child__hashed_id,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1,child_gender
QVSRQC,person,1,spider,wheels,spider,1,0,0,0,,no experience with coding,,,,1,1,1,1,1,f
dcddCF,person,1,spider,wheels,wheels,1,1,1,1,,no experience with coding,Never,About once a day,Never,1,1,1,1,0,f
4NJCTY,person,2,wheels,spider,wheels,1,1,0,0,,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,1,m
2UMdLC,person,1,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1,m
F5QMEJ,person,2,wheels,spider,wheels,1,1,1,0,,no experience with coding,About once a week,Less than once a week,Less than once a week,1,1,1,1,1,m
Xd7JWC,person,1,spider,wheels,spider,1,1,1,1,3.0,no experience with coding,About once a day,About once a week,About once a day,1,1,1,1,1,m
DBFU24,person,3,spider,wheels,spider,1,0,0,1,2.0,coding class at school,Several times a day,Never,Never,1,1,1,1,1,f
6S42XL,person,2,wheels,spider,wheels,1,1,1,1,4.0,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,1,
2cLdd2,person,3,spider,wheels,spider,1,1,1,1,2.0,no experience with coding,About once a day,About once a week,About once a day,1,1,1,1,1,f
SCMMCA,person,1,spider,wheels,spider,1,1,1,1,3.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,About once a day,Several times a day,1,1,1,1,1,f
M2VDRX,AI,2,wheels,spider,wheels,1,1,1,1,0.0,no experience with coding,About once a day,,,1,1,1,1,1,f
E5EL7R,AI,1,spider,wheels,spider,1,1,1,1,2.0,no experience with coding,Several times a day,About once a week,Less than once a week,1,1,1,1,1,f
KE6McV,AI,3,spider,wheels,wheels,1,1,1,1,5.0,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,0,f
4SGNPS,AI,4,wheels,twinkle,wheels,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,About once a day,1,0,1,0,1,m
VDGZL2,AI,2,wheels,spider,wheels,0,1,1,0,1.0,no experience with coding,About once a day,Less than once a week,Less than once a week,1,1,0,0,1,m
N4N6Q2,AI,1,spider,wheels,spider,1,0,1,0,0.0,no experience with coding,Several times a day,,,1,1,1,1,1,m
3NRZDA,person,4,wheels,spider,wheels,0,0,0,1,0.0,no experience with coding,Less than once a week,Never,Never,1,1,0,0,1,f
6LXAJD,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,f
UKBcFN,AI,3,spider,wheels,spider,1,1,1,1,1.0,coding class at school,Several times a day,About once a day,,1,1,1,1,1,m
J7d7Ed,person,2,wheels,spider,wheels,1,1,1,1,,,Several times a day,Never,Several times a day,1,1,1,1,1,m
3BJL75,AI,2,wheels,spider,wheels,1,0,0,0,0.0,no experience with coding,About once a week,Never,Never,1,1,1,1,1,m
ZYPLRK,AI,1,spider,wheels,spider,1,1,1,0,3.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1,
P7Md7Y,AI,1,spider,wheels,spider,1,1,1,1,,coding class at school,About once a day,About once a day,About once a week,1,1,1,1,1,f
CXMSKS,person,4,wheels,spider,wheels,1,1,1,1,5.0,no experience with coding,About once a day,About once a day,Less than once a week,1,1,1,1,1,f
VJ5H2T,AI,4,wheels,spider,spider,1,1,1,1,0.0,no experience with coding,About once a day,Less than once a week,About once a day,1,1,1,1,0,o
A5ZcC2,person,3,spider,wheels,wheels,0,0,0,0,4.0,no experience with coding,About once a day,About once a day,About once a day,1,1,0,0,0,m
ZdWJU6,person,4,wheels,spider,wheels,1,0,0,0,4.0,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,1,f
5Q24K5,person,2,wheels,spider,wheels,1,0,0,1,0.0,no experience with coding,About once a week,Never,Never,1,1,1,1,1,f
V6MN6V,AI,4,wheels,spider,wheels,1,0,0,0,,,Less than once a week,,Less than once a week,1,1,1,1,1,
4HBDTF,person,4,wheels,spider,wheels,1,1,1,1,7.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,,1,1,1,1,1,m
SL5H56,AI,4,wheels,spider,wheels,1,1,1,1,4.0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,About once a day,1,1,1,1,1,f
F5REDH,person,3,spider,wheels,wheels,1,1,1,1,3.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,Several times a day,1,1,1,1,0,m
ZEYSWL,AI,1,spider,wheels,spider,1,0,0,0,0.0,no experience with coding,About once a week,Never,Never,1,1,1,1,1,f
YPMRcS,AI,2,wheels,spider,wheels,1,1,0,0,0.0,no experience with coding,About once a day,Never,Never,1,1,1,1,1,f
EG4DM2,AI,4,wheels,spider,spider,0,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,Never,1,1,0,0,0,m
XUYCHN,AI,2,wheels,twinkle,wheels,1,1,0,0,2.0,no experience with coding,Never,Never,Never,1,0,1,0,1,f
B7TKT6,AI,2,wheels,spider,wheels,1,1,1,1,,,About once a week,,About once a week,1,1,1,1,1,f
YKUEcM,person,2,wheels,spider,wheels,1,1,1,1,0.0,no experience with coding,Several times a day,Never,Less than once a week,1,1,1,1,1,f
347dJH,AI,3,spider,wheels,spider,1,0,0,0,0.0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1,f
YM2G5C,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,f
EFYJWW,person,1,spider,wheels,spider,1,0,0,0,2.0,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1,f
7EBDYc,person,2,wheels,spider,wheels,1,1,1,1,0.0,no experience with coding,,,,1,1,1,1,1,f
UDVQ7Y,AI,1,spider,wheels,spider,1,1,1,1,2.0,no experience with coding,Several times a day,About once a week,,1,1,1,1,1,m
LUQK5d,AI,1,spider,wheels,wheels,1,1,0,0,0.0,no experience with coding,About once a week,,,1,1,1,1,0,f
K6FCZV,AI,3,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,Several times a day,About once a week,About once a day,1,1,1,1,1,m
ALGACP,AI,4,wheels,spider,wheels,1,1,1,1,2.0,no experience with coding,Several times a day,Less than once a week,Less than once a week,1,1,1,1,1,m
