"child__hashed_id","age_days","child_gender","condition","counterbalance","attn1","attn2","pass_attn1","pass_attn2","test","chose_song_1","carrie_diverse_desire","rachel_false_belief","diana_false_belief","allie_false_belief","num_speakers","smart_speaker_frequency"
"NPVQNQ",1753,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,0,0,0,1,"About once a week"
"NSQ3X6",3411,"f","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,0,NA
"NSYUD6",3934,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"Several times a day"
"NX5FLF",1112,"f","AI",1,"spider","wheels",1,1,"spider",1,0,0,1,1,4,"Less than once a week"
"NY2cZA",3518,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,4,"About once a day"
"NZKdcH",1543,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,4,"Never"
"NZcKZR",2476,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"About once a day"
"NcPKdR",4751,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"About once a week"
"P2JCDF",1739,"m","Person",1,"spider","wheels",1,1,"spider",1,1,0,1,1,NA,NA
"P3MYF5",3313,"f","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,0,0,NA
"P7Md7Y",4205,"f","AI",4,"wheels","spider",1,1,"spider",0,1,1,1,1,1,"About once a day"
"PB3S3Y",3361,"m","AI",2,"spider","wheels",0,0,"spider",0,1,1,0,0,2,"Several times a day"
"PBLZWN",5197,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,4,"Several times a day"
"PCWHCD",4080,"m","AI",4,"wheels","spider",1,1,"spider",0,1,1,1,1,3,"About once a day"
"PF76LW",5091,"m","AI",2,"wheels","spider",1,1,"spider",0,1,1,1,1,2,"Several times a day"
"PHK3XR",2609,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"About once a day"
